family,run,dataset,method,variant,seed,rho,sigma,eta_f,task1,task2,payload_mb,residual_mb,wall_seconds,final_frozen,mean_frozen,mean_similarity,mean_retention,mean_budget_utilization,mean_stationarity,min_stationarity,residual_l2_final,jain_participation
main,intel_sensor_scaffold_11,intel_sensor,scaffold,full,11,0.3,0.6,0.0005,0.232746347784996,0.029428007081151,7.4304,0.060736,15.761823138000182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99610427920557
main,intel_sensor_scaffold_22,intel_sensor,scaffold,full,22,0.3,0.6,0.0005,0.2645967006683349,0.0362854376435279,7.4304,0.060736,15.561544135999611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963471882482694
main,intel_sensor_scaffold_33,intel_sensor,scaffold,full,33,0.3,0.6,0.0005,0.2524117827415466,0.03636409714818,7.4304,0.060736,15.183041848000357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9951974046234598
main,intel_sensor_scaffold_44,intel_sensor,scaffold,full,44,0.3,0.6,0.0005,0.1838239431381225,0.0456849075853824,7.4304,0.060736,15.059458437000103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963989710642971
main,intel_sensor_scaffold_55,intel_sensor,scaffold,full,55,0.3,0.6,0.0005,0.2338668704032898,0.0500222034752368,7.4304,0.060736,18.215367911000612,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9964109217093183
main,intel_sensor_topksgd_11,intel_sensor,topksgd,full,11,0.3,0.6,0.0005,0.2352126091718673,0.0298446770757436,3.2688,0.060736,17.17510753999977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99610427920557
main,intel_sensor_topksgd_22,intel_sensor,topksgd,full,22,0.3,0.6,0.0005,0.2660516500473022,0.0377200506627559,3.2688,0.060736,17.327926480000315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963471882482694
main,intel_sensor_topksgd_33,intel_sensor,topksgd,full,33,0.3,0.6,0.0005,0.2546297311782837,0.0367316417396068,3.2688,0.060736,16.0306938599997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9951974046234598
main,intel_sensor_topksgd_44,intel_sensor,topksgd,full,44,0.3,0.6,0.0005,0.1863825470209121,0.0462712123990058,3.2688,0.060736,16.21106612099993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9963989710642971
main,intel_sensor_topksgd_55,intel_sensor,topksgd,full,55,0.3,0.6,0.0005,0.2389956265687942,0.0528369322419166,3.2688,0.060736,17.969220136999866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9964109217093183
main,uci_har_fedavg_11,uci_har,fedavg,full,11,0.3,0.6,0.0005,0.8724126230064473,0.999660671869698,521.856,5.84192,11.700372074999905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9917841094146025
main,uci_har_fedavg_22,uci_har,fedavg,full,22,0.3,0.6,0.0005,0.8649474041398032,0.999321343739396,521.856,5.84192,10.911005101999763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9910529938059188
main,uci_har_fedavg_33,uci_har,fedavg,full,33,0.3,0.6,0.0005,0.8513742789277231,0.999321343739396,521.856,5.84192,11.54125263900005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.991547364748655
main,uci_har_fedavg_44,uci_har,fedavg,full,44,0.3,0.6,0.0005,0.8564642008822532,1.0,521.856,5.84192,10.982432626000445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990322955319318
main,uci_har_fedavg_55,uci_har,fedavg,full,55,0.3,0.6,0.0005,0.8724126230064473,0.999660671869698,521.856,5.84192,11.122448560000521,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9938406419474368
main,uci_har_fedprox_11,uci_har,fedprox,full,11,0.3,0.6,0.0005,0.8724126230064473,0.999660671869698,521.856,5.84192,14.040211384000031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9917841094146025
main,uci_har_fedprox_22,uci_har,fedprox,full,22,0.3,0.6,0.0005,0.8649474041398032,0.999321343739396,521.856,5.84192,16.64846207299979,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9910529938059188
main,uci_har_fedprox_33,uci_har,fedprox,full,33,0.3,0.6,0.0005,0.8513742789277231,0.999321343739396,521.856,5.84192,13.282752587999312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.991547364748655
main,uci_har_fedprox_44,uci_har,fedprox,full,44,0.3,0.6,0.0005,0.8564642008822532,1.0,521.856,5.84192,15.381154788999993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990322955319318
main,uci_har_fedprox_55,uci_har,fedprox,full,55,0.3,0.6,0.0005,0.8720732948761453,0.999660671869698,521.856,5.84192,14.085094119000132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9938406419474368
main,uci_har_fmtl_11,uci_har,fmtl,full,11,0.3,0.6,0.0005,0.8713946386155412,0.999660671869698,521.856,5.84192,11.245048257000235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9917841094146025
main,uci_har_fmtl_22,uci_har,fmtl,full,22,0.3,0.6,0.0005,0.8639294197488971,0.999321343739396,521.856,5.84192,8.458731437000097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9910529938059188
main,uci_har_fmtl_33,uci_har,fmtl,full,33,0.3,0.6,0.0005,0.8513742789277231,0.999321343739396,521.856,5.84192,10.90572963700015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.991547364748655
main,uci_har_fmtl_44,uci_har,fmtl,full,44,0.3,0.6,0.0005,0.8530709195792331,1.0,521.856,5.84192,11.624131601000045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990322955319318
main,uci_har_fmtl_55,uci_har,fmtl,full,55,0.3,0.6,0.0005,0.8707159823549372,0.999660671869698,521.856,5.84192,13.53995203500017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9938406419474368
main,uci_har_scaffold_11,uci_har,scaffold,full,11,0.3,0.6,0.0005,0.8788598574821853,0.999660671869698,521.856,5.84192,14.410150269999576,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9917841094146025
main,uci_har_scaffold_22,uci_har,scaffold,full,22,0.3,0.6,0.0005,0.8642687478791992,0.998982015609094,521.856,5.84192,15.171771874000115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9910529938059188
main,uci_har_scaffold_33,uci_har,scaffold,full,33,0.3,0.6,0.0005,0.8489989820156091,0.998642687478792,521.856,5.84192,12.903925722000167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.991547364748655
main,uci_har_scaffold_44,uci_har,scaffold,full,44,0.3,0.6,0.0005,0.8523922633186292,1.0,521.856,5.84192,15.5974912519996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990322955319318
main,uci_har_scaffold_55,uci_har,scaffold,full,55,0.3,0.6,0.0005,0.8690193417034272,0.999660671869698,521.856,5.84192,12.811173127000075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9938406419474368
main,uci_har_topksgd_11,uci_har,topksgd,full,11,0.3,0.6,0.0005,0.8703766542246352,0.999660671869698,226.9008,5.84192,35.161268433999794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9917841094146025
main,uci_har_topksgd_22,uci_har,topksgd,full,22,0.3,0.6,0.0005,0.8632507634882932,0.999321343739396,226.9008,5.84192,25.82216075499946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9910529938059188
main,uci_har_topksgd_33,uci_har,topksgd,full,33,0.3,0.6,0.0005,0.8517136070580251,0.999321343739396,226.9008,5.84192,28.85581268200076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.991547364748655
main,uci_har_topksgd_44,uci_har,topksgd,full,44,0.3,0.6,0.0005,0.8564642008822532,1.0,226.9008,5.84192,29.081787084000098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.990322955319318
main,uci_har_topksgd_55,uci_har,topksgd,full,55,0.3,0.6,0.0005,0.8720732948761453,0.999660671869698,226.9008,5.84192,28.044079507000788,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9938406419474368
main,cwru_proposed_11,cwru,proposed,full,11,0.3,0.6,0.0005,0.9739921976592978,0.918075422626788,13.032,0.36352,44.158147729999996,0.0,0.0,-0.07648214398096971,1.0,0.9523809523809526,1.5151765018922554,0.3958556307323378,0.1544798165559768,0.5699870169623914
main,cwru_proposed_22,cwru,proposed,full,22,0.3,0.6,0.0005,0.9856957087126138,0.8946684005201561,13.032,0.36352,6.700098504000039,0.0,0.0,-0.020849091941174312,1.0,0.9523809523809526,1.2143403491731453,0.3924538413656077,0.144605204463005,0.6149221098660836
main,cwru_proposed_33,cwru,proposed,full,33,0.3,0.6,0.0005,0.9037711313394018,0.9141742522756828,13.032,0.36352,6.588632293000046,0.0,0.0,-0.1226011351961614,1.0,0.9523809523809526,1.3650117200268392,0.404170047214421,0.1691080927848816,0.5873321163715202
main,cwru_proposed_44,cwru,proposed,full,44,0.3,0.6,0.0005,0.929778933680104,0.9167750325097528,13.032,0.36352,11.207872813999984,0.0,0.0,-0.05959015475631453,1.0,0.9523809523809526,1.2266065606586063,0.2928310820244405,0.1391077786684036,0.6005126598818621
main,cwru_proposed_55,cwru,proposed,full,55,0.3,0.6,0.0005,0.9934980494148244,0.906371911573472,13.032,0.36352,11.697528290000037,0.0,0.0,-0.03871865469523731,1.0,0.9523809523809526,1.1528837125224158,0.3536981436325436,0.1347158849239349,0.5971502662294937
main,intel_sensor_proposed_11,intel_sensor,proposed,full,11,0.3,0.6,0.0005,0.2041969448328018,0.0264149475842714,3.2688,0.060736,197.32945292600004,0.0,0.0,-0.05168286049558965,1.0,0.9523809523809526,0.7111312178101213,0.0416952415384383,0.0495038405060768,0.7212728060784598
main,intel_sensor_proposed_22,intel_sensor,proposed,full,22,0.3,0.6,0.0005,0.24064502120018,0.034254141151905,3.2688,0.060736,202.77480509399993,0.0,0.0,0.003170862983014186,1.0,0.9523809523809526,0.8143913382078136,0.0854424887373081,0.0469743236899375,0.6941877842232971
main,intel_sensor_proposed_33,intel_sensor,proposed,full,33,0.3,0.6,0.0005,0.2386353760957718,0.0416991636157035,3.2688,0.060736,198.5839664570001,0.0,0.0,-0.005271605106112711,1.0,0.9523809523809526,0.8190566047562863,0.0202444559292475,0.0423204153776168,0.7285947464945653
main,intel_sensor_proposed_44,intel_sensor,proposed,full,44,0.3,0.6,0.0005,0.1651689112186432,0.0432447828352451,3.2688,0.060736,13.191447657000026,0.0,0.0,-0.03565082643367404,1.0,0.9523809523809526,1.0535409286001933,0.0558487088952791,0.050819743424654,0.7138613476358245
main,intel_sensor_proposed_55,intel_sensor,proposed,full,55,0.3,0.6,0.0005,0.2085681706666946,0.0386354327201843,3.2688,0.060736,13.697206406000078,0.0,0.0,-0.003769286391993451,1.0,0.9523809523809526,0.9812712536502571,0.0953658513962113,0.0577703192830085,0.734680383421529
main,uci_har_proposed_11,uci_har,proposed,full,11,0.3,0.6,0.0005,0.8819138106549033,0.999660671869698,226.9008,5.84192,188.60765313800005,0.0,0.0,-0.10845056668151784,1.0,0.9523809523809526,2.50730625101631,0.7216973179755204,0.1845818608999252,0.6372320527722545
main,uci_har_proposed_22,uci_har,proposed,full,22,0.3,0.6,0.0005,0.8659653885307091,0.999321343739396,226.9008,5.84192,85.59098706100008,0.0,0.0,-0.025376884428201126,1.0,0.9523809523809526,2.653425416536585,0.767553962862776,0.2670641243457794,0.701508242721852
main,uci_har_proposed_33,uci_har,proposed,full,33,0.3,0.6,0.0005,0.8581608415337632,0.999321343739396,226.9008,5.84192,96.13933633499983,0.0,0.0,-0.08907057165123732,1.0,0.9523809523809526,2.11954160065413,0.7672479530154024,0.2049895226955413,0.6666337464816552
main,uci_har_proposed_44,uci_har,proposed,full,44,0.3,0.6,0.0005,0.8612147947064812,0.999660671869698,226.9008,5.84192,94.51155075100019,0.0,0.0,-0.11535482035257422,1.0,0.9523809523809526,2.900640655009429,0.7872368932882936,0.2516871094703674,0.6783280469804981
main,uci_har_proposed_55,uci_har,proposed,full,55,0.3,0.6,0.0005,0.8822531387852053,0.999660671869698,226.9008,5.84192,103.39128024399997,0.0,0.0,-0.05130767099959958,1.0,0.9523809523809526,2.480537840981781,0.7909435989806687,0.1813111901283264,0.6859363984528324
component,cwru_no_scheduler_11,cwru,proposed,no_scheduler,11,0.3,0.6,0.0005,0.9193758127438232,0.918075422626788,13.032,0.36352,7.0268665319999855,0.0,0.0,-0.06827527717016635,1.0,0.9523809523809526,1.136901621342345,0.2001561442798252,0.1568454951047897,0.9916323370080861
