dataset,method,seed,task1_metric,task2_metric,payload_bytes,active_clients,frozen_clients,wall_seconds
uci_har,fmtl,55,0.8707159823549372,0.999660671869698,521856000,24,0,13.53995203500017
uci_har,scaffold,11,0.8788598574821853,0.999660671869698,521856000,24,0,14.410150269999576
uci_har,scaffold,22,0.8642687478791992,0.9989820156090939,521856000,24,0,15.171771874000115
uci_har,scaffold,33,0.8489989820156091,0.998642687478792,521856000,24,0,12.903925722000167
uci_har,scaffold,44,0.8523922633186292,1.0,521856000,24,0,15.5974912519996
uci_har,scaffold,55,0.8690193417034272,0.999660671869698,521856000,24,0,12.811173127000075
uci_har,topksgd,11,0.8703766542246352,0.999660671869698,226900800,24,0,35.161268433999794
uci_har,topksgd,22,0.8632507634882932,0.999321343739396,226900800,24,0,25.82216075499946
uci_har,topksgd,33,0.8517136070580251,0.999321343739396,226900800,24,0,28.85581268200076
uci_har,topksgd,44,0.8564642008822532,1.0,226900800,24,0,29.081787084000098
uci_har,topksgd,55,0.8720732948761453,0.999660671869698,226900800,24,0,28.044079507000788
cwru,proposed,11,0.9739921976592978,0.918075422626788,13032000,24,0,44.158147729999996
cwru,proposed,22,0.9856957087126138,0.8946684005201561,13032000,24,0,6.700098504000039
cwru,proposed,33,0.9037711313394018,0.9141742522756827,13032000,24,0,6.588632293000046
cwru,proposed,44,0.929778933680104,0.9167750325097529,13032000,24,0,11.207872813999984
cwru,proposed,55,0.9934980494148244,0.9063719115734721,13032000,24,0,11.697528290000037
intel_sensor,proposed,11,0.20419694483280182,0.02641494758427143,3268800,24,0,197.32945292600004
intel_sensor,proposed,22,0.24064502120018005,0.03425414115190506,3268800,24,0,202.77480509399993
intel_sensor,proposed,33,0.2386353760957718,0.04169916361570358,3268800,24,0,198.5839664570001
intel_sensor,proposed,44,0.1651689112186432,0.04324478283524513,3268800,24,0,13.191447657000026
intel_sensor,proposed,55,0.20856817066669464,0.038635432720184326,3268800,24,0,13.697206406000078
uci_har,proposed,11,0.8819138106549033,0.999660671869698,226900800,24,0,188.60765313800005
uci_har,proposed,22,0.8659653885307091,0.999321343739396,226900800,24,0,85.59098706100008
uci_har,proposed,33,0.8581608415337632,0.999321343739396,226900800,24,0,96.13933633499983
uci_har,proposed,44,0.8612147947064812,0.999660671869698,226900800,24,0,94.51155075100019
uci_har,proposed,55,0.8822531387852053,0.999660671869698,226900800,24,0,103.39128024399997
